date,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,PCT_CHG,VOLUME,AMT,PE_TTM,PB_LF,MKT_CAP_ARD,TOTAL_SHARES,FLOAT_A_SHARES,FREE_FLOAT_SHARES
2004-06-01,1002.055,,,,1016.113,1.402917005553598,,,23.77869987487793,2.715100049972534,1501194846979.0,224309755047.0,34735786547.0,31743434963.000004
2004-06-02,1016.113,,,,1003.603,-1.2311622821477635,,,23.441499710083008,2.6765999794006348,1479909984530.0,224309755047.0,34735786547.0,31743434963.000004
2004-06-03,1003.603,,,,988.333,-1.521517970751381,,,23.133100509643555,2.641400098800659,1460441713934.0002,224474155047.0,34735786547.0,31743434963.000004
2004-06-04,988.333,,,,988.112,-0.022360884438747227,,,23.109899520874023,2.6387999057769775,1458976837570.9998,224474155047.0,34783786547.0,31743434963.000004
2004-06-07,988.112,,,,975.638,-1.2624075003643245,,,22.638599395751953,2.5850000381469727,1429219309137.0002,224474155047.0,34783786547.0,31743434963.000004
2004-06-08,975.638,,,,957.142,-1.8957851170208602,,,22.103599548339844,2.523900032043457,1395444798357.0,224474155047.0,34783786547.0,31743434963.000004
2004-06-09,957.142,,,,943.712,-1.4031355848975453,,,21.922800064086914,2.503200054168701,1384033232894.0,225230154837.0,34783786547.0,31743434963.000004
2004-06-10,943.712,,,,946.669,0.31333711979926016,,,22.10580062866211,2.5241000652313232,1395581554506.0,225230154837.0,35010586484.0,31743434963.000004
2004-06-11,946.669,,,,945.456,-0.12813348699492277,,,22.122299194335938,2.5260000228881836,1396626564944.0,226620864547.0,35010586484.0,31743434963.000004
2004-06-14,945.456,,,,927.138,-1.9374777884957082,,,21.739500045776367,2.482300043106079,1372459713944.9998,227517408431.99997,35400586484.0,31743434963.000004
2004-06-15,927.138,,,,945.273,1.9560194922438718,,,22.131799697875977,2.527100086212158,1397222920305.0,228190153561.99997,35606082484.0,31743434963.000004
2004-06-16,945.273,,,,949.769,0.47562979160517443,,,22.39299964904785,2.5569000244140625,1413712054660.0,228190153561.99997,35743582484.0,31743434963.000004
2004-06-17,949.769,,,,928.584,-2.2305423739877863,,,21.92060089111328,2.503000020980835,1383888763961.0002,228190153561.99997,35743582484.0,31743434963.000004
2004-06-18,928.584,,,,913.347,-1.6408854772427661,,,21.524900436401367,2.4577999114990234,1358911030815.0,228190153561.99997,35743582484.0,31743434963.000004
2004-06-21,913.347,,,,914.612,0.13850157716617958,,,21.397899627685547,2.4433000087738037,1350892649774.0,228190153561.99997,35743582484.0,31743434963.000004
2004-06-22,914.612,,,,924.424,1.0728046428430866,,,21.706300735473633,2.4784998893737793,1370359415383.0,228190153561.99997,35743582484.0,31743434963.000004
2004-06-23,924.424,,,,918.442,-0.6471056571443375,,,21.571399688720703,2.463099956512451,1361847046607.0,228190153561.99997,35743582484.0,31743434963.000004
2004-06-24,918.442,,,,911.967,-0.7049982470313882,,,21.30120086669922,2.4321999549865723,1344785605086.0,228550653561.99997,35743582484.0,31743434963.000004
2004-06-25,911.967,,,,897.839,-1.5491788628316518,,,21.045299530029297,2.4030001163482666,1328634476244.0,228550653561.99997,35843582484.0,31743434963.000004
2004-06-28,897.839,,,,889.749,-0.9010524158562985,,,20.962299346923828,2.3935999870300293,1323394061769.0,228550653561.99997,35843582484.0,31743434963.000004
2004-06-29,889.749,,,,907.252,1.9671840035785295,,,21.532800674438477,2.458699941635132,1359411711599.0,228550653561.99997,35843582484.0,31743434963.000004
2004-06-30,907.252,,,,903.888,-0.37079003408093003,,,21.5177001953125,2.4570000171661377,1358453602669.0,228550653561.99997,35843582484.0,31743434963.000004
2004-07-01,903.888,,,,931.37,3.040420937107249,,,21.776599884033203,2.5378000736236572,1427237792980.0,231029069201.0,35934164719.0,31955106673.0
2004-07-02,931.37,,,,932.997,0.174688899148561,,,21.776199340820312,2.5378000736236572,1427211854390.0,231033885480.0,35938980998.0,31955106673.0
2004-07-05,932.997,,,,935.06,0.22111539479762404,,,22.023000717163086,2.5264999866485596,1443387611390.0,232460999976.0,36519671494.0,31955106673.0
2004-07-06,935.06,,,,938.554,0.3736658610142695,,,22.03969955444336,2.52839994430542,1444477839661.0,232460999976.0,36519671494.0,31955106673.0
2004-07-07,938.554,,,,930.477,-0.8605791462185446,,,21.891199111938477,2.511399984359741,1434745638264.0,232460999976.0,36519671494.0,31955106673.0
2004-07-08,930.477,,,,933.671,0.34326479859255776,,,21.87660026550293,2.509700059890747,1433787319709.9998,232460999976.0,36519671494.0,31955106673.0
2004-07-09,933.671,,,,930.417,-0.3485167687547347,,,21.75079917907715,2.495300054550171,1425542920844.0,232460999976.0,36519671494.0,31955106673.0
2004-07-12,930.417,,,,911.623,-2.019954493522795,,,21.33049964904785,2.4470999240875244,1397998845100.0,232460999976.0,36519671494.0,31955106673.0
2004-07-13,911.623,,,,914.453,0.3104353444351368,,,21.381900787353516,2.453000068664551,1401369928829.9998,232460999976.0,36519671494.0,31955106673.0
2004-07-14,914.453,,,,919.721,0.5760820949791875,,,21.675899505615234,2.4867000579833984,1420637161432.0,232587299061.0,36519671494.0,31955106673.0
2004-07-15,919.721,,,,933.619,1.511110434577445,,,22.065799713134766,2.531399965286255,1446189245316.9998,233072522575.0,36608066811.0,31955106673.0
2004-07-16,933.619,,,,954.295,2.2146078860862866,,,22.44770050048828,2.575200080871582,1471218621927.9998,233072522575.0,37093290325.0,31955106673.0
2004-07-19,954.295,,,,955.633,0.14020821653682344,,,22.4424991607666,2.574700117111206,1470879512514.0,233072522575.0,37093290325.0,31955106673.0
2004-07-20,955.633,,,,947.362,-0.8654996217167126,,,22.224700927734375,2.553999900817871,1459826053750.9998,233072522575.0,37093290325.0,31955106673.0
2004-07-21,947.362,,,,948.657,0.13669537093529957,,,22.242700576782227,2.5560998916625977,1461009658775.0,233072522575.0,37093290325.0,31955106673.0
2004-07-22,948.657,,,,921.295,-2.884287998718196,,,21.49410057067871,2.470099925994873,1411839104328.0,233072522575.0,37093290325.0,31955106673.0
2004-07-23,921.295,,,,923.217,0.20861938901220842,,,21.31679916381836,2.449700117111206,1400194546853.0,233072522575.0,37093290325.0,31955106673.0
2004-07-26,923.217,,,,911.824,-1.234054398911635,,,21.02239990234375,2.4158999919891357,1380855644011.0,233072522575.0,37093290325.0,31955106673.0
2004-07-27,911.824,,,,911.39,-0.04759690466580931,,,21.040599822998047,2.4179999828338623,1382048688884.0,233072522575.0,37093290325.0,31955106673.0
2004-07-28,911.39,,,,914.147,0.30250496494366425,,,20.691699981689453,2.41759991645813,1381770098065.0,233072522575.0,37093290325.0,32601806673.0
2004-07-29,914.147,,,,927.194,1.4272321628797022,,,21.035999298095703,2.4381000995635986,1404406445152.0,234572522575.0,38593290325.0,32601806673.0
2004-07-30,927.194,,,,914.553,-1.3633608500486374,,,20.687599182128906,2.3987998962402344,1382585889777.0,234572522575.0,38593290325.0,32832926723.000004
2004-08-02,914.553,,,,908.249,-0.6892984878951766,,,20.50629997253418,2.3777999877929688,1370473622846.0,234572543095.0,38893290325.0,32832926723.000004
2004-08-03,908.249,,,,901.526,-0.7402155135871408,,,20.266799926757812,2.3596999645233154,1360198995874.0,234572543095.0,38893290325.0,32932926723.000004
2004-08-04,901.526,,,,931.611,3.337119506259391,,,20.88409996032715,2.43149995803833,1401626172363.0,234572543095.0,38893290325.0,32932926723.000004
2004-08-05,931.611,,,,917.539,-1.510501700817187,,,20.682300567626953,2.4079999923706055,1388084759642.0,234572543095.0,38893290325.0,32932926723.000004
2004-08-06,917.539,,,,920.04,0.2725769694803138,,,20.71649932861328,2.4205000400543213,1396721669878.0,234572543095.0,38893290325.0,33438422723.0
2004-08-09,920.04,,,,929.389,1.0161514716751496,,,20.8843994140625,2.447499990463257,1412375424523.0,234572543095.0,38893290325.0,33438422723.0
2004-08-10,929.389,,,,935.224,0.6278318336025105,,,20.93160057067871,2.4535999298095703,1415563496966.0,234572543095.0,38893290325.0,33575922723.0
2004-08-11,935.224,,,,923.182,-1.2876059639188076,,,20.74209976196289,2.435699939727783,1400637253367.0,234572543095.0,38893290325.0,33825922723.0
2004-08-12,923.182,,,,916.339,-0.741240622109179,,,20.433700561523438,2.4195001125335693,1389767024937.0,234572543095.0,38893290325.0,33825922723.0
2004-08-13,916.339,,,,915.505,-0.09101435167553275,,,20.403200149536133,2.4163999557495117,1387937975458.0,234859159743.0,38893290325.0,33873922723.0
2004-08-16,915.505,,,,912.484,-0.32998181331614335,,,20.30459976196289,2.4094998836517334,1385551697603.0,234859159743.0,39080282542.0,34073922723.0
2004-08-17,912.484,,,,919.401,0.7580406889326187,,,20.44860076904297,2.4265999794006348,1395377477058.0,234859159743.0,39080282542.0,34073922723.0
2004-08-18,919.401,,,,920.396,0.10822263625991321,,,20.452800750732422,2.428999900817871,1396634379449.0,234859159743.0,39080282542.0,34039855554.999996
2004-08-19,920.396,,,,911.786,-0.9354669077223297,,,20.117000579833984,2.4105000495910645,1386152956637.0002,234859159743.0,39080282542.0,34248811059.0
2004-08-20,911.786,,,,913.311,0.16725415832224788,,,20.18000030517578,2.4177000522613525,1390353334876.0,234859159743.0,39080282542.0,34248811059.0
2004-08-23,913.311,,,,897.999,-1.6765373459861985,,,19.768400192260742,2.3770999908447266,1367491489147.0,234859159743.0,39080282542.0,34665804389.0
2004-08-24,897.999,,,,906.184,0.9114709481859049,,,19.998899459838867,2.4059998989105225,1384041453753.0,234859159743.0,39080282542.0,34665804389.0
2004-08-25,906.184,,,,902.753,-0.37862067747829653,,,19.912599563598633,2.3924999237060547,1377045835311.0,234859159743.0,39080282542.0,34637568671.0
2004-08-26,902.753,,,,900.463,-0.25366850068624275,,,19.940099716186523,2.3938000202178955,1377099055929.0,234859159743.0,39080282542.0,34937568671.0
2004-08-27,900.463,,,,891.99,-0.9409603726083089,,,19.14929962158203,2.3666999340057373,1362689421634.0,234859159743.0,39080282542.0,35423368608.0
2004-08-30,891.99,,,,890.316,-0.18767026536171685,,,18.013200759887695,2.3529000282287598,1360383111217.0,234859159743.0,39080282542.0,35423368608.0
2004-08-31,890.316,,,,904.182,1.557424554877143,,,18.280899047851562,2.387200117111206,1379258773526.0,234859159743.0,39080282542.0,35423368608.0
2004-09-01,904.182,,,,888.798,-1.7014273674990226,,,17.999300003051758,2.350399971008301,1358010606365.0,234859159743.0,39080282542.0,35423368608.0
2004-09-02,888.798,,,,889.833,0.11644940695185724,,,17.924699783325195,2.34060001373291,1352380959662.0,234859159743.0,39080282542.0,35423368608.0
2004-09-03,889.833,,,,887.663,-0.2438659838419073,,,17.9242000579834,2.34060001373291,1352342522464.0,234859159743.0,39080282542.0,35423368608.0
2004-09-06,887.663,,,,882.892,-0.5374787503816153,,,17.793699264526367,2.323499917984009,1342498053851.0,234859159743.0,39080282542.0,35423368608.0
2004-09-07,882.892,,,,886.004,0.3524779927782748,,,17.8843994140625,2.335400104522705,1349340872050.0002,234859159743.0,39080282542.0,35423368608.0
2004-09-08,886.004,,,,872.697,-1.501911955250768,,,17.533300399780273,2.2894999980926514,1322848739167.0,234859159743.0,39080282542.0,35423368608.0
2004-09-09,872.697,,,,856.41,-1.866283486708449,,,17.18160057067871,2.2435998916625977,1296316227156.0,234859159743.0,39080282542.0,35423368608.0
2004-09-10,856.41,,,,859.957,0.4141707826858661,,,17.252300262451172,2.2527999877929688,1301653921237.0,234859159743.0,39080282542.0,35423368608.0
2004-09-13,859.957,,,,841.924,-2.0969653133819497,,,16.956199645996094,2.214200019836426,1279314513170.0,234859159743.0,39080282542.0,35423368608.0
2004-09-14,841.924,,,,868.162,3.1164333122704733,,,17.52790069580078,2.288800001144409,1322441073951.0,234859159743.0,39080282542.0,35423368608.0
2004-09-15,868.162,,,,901.14,3.798599800498058,,,18.143999099731445,2.36929988861084,1368930967629.0,234859159743.0,39080282542.0,35423368608.0
2004-09-16,901.14,,,,911.874,1.1911578667021814,,,18.356300354003906,2.3970000743865967,1384946482169.0,234859159743.0,39080282542.0,35423368608.0
2004-09-17,911.874,,,,941.057,3.200332502078137,,,18.931299209594727,2.472100019454956,1428324889092.0002,234859159743.0,39080282542.0,35423368608.0
2004-09-20,941.057,,,,974.158,3.517427743484188,,,19.483999252319336,2.544300079345703,1470027397405.0,234859159743.0,39080282542.0,35423368608.0
2004-09-21,974.158,,,,964.307,-1.0112322641706992,,,19.17569923400879,2.503999948501587,1446767109454.0,234859159743.0,39080282542.0,35423368608.0
2004-09-22,964.307,,,,942.194,-2.2931493808507097,,,18.769399642944336,2.450900077819824,1416111405475.0002,234859159743.0,39080282542.0,35423368608.0
