,中债-国债总财富(总值)指数,沪深300指数(全收益),SGE黄金9999
2014-07-21,0.7608941455794416,0.10313834483815247,0.13596750958240586
2014-07-28,0.7567041788986544,0.106199919405932,0.13709590169541358
2014-08-04,0.7542793278614583,0.10762706211512403,0.13809361002341758
2014-08-11,0.7556972345056272,0.10697866236257024,0.13732410313180246
2014-08-18,0.7510109338065696,0.10765837293138404,0.14133069326204642
2014-08-25,0.752288753872215,0.1069037795921982,0.1408074665355868
2014-09-01,0.7530661991966311,0.10558119345503664,0.14135260734833222
2014-09-09,0.7533036703377355,0.10527111226952143,0.14142521739274314
2014-09-15,0.7527675864759711,0.10496619945366222,0.1422662140703667
2014-09-22,0.7448431185725006,0.10871618138666078,0.14644070004083856
2014-09-29,0.7440516549473741,0.10871643822495271,0.14723190682767318
2014-10-08,0.7430114184413175,0.10917848846167443,0.14781009309700804
2014-10-13,0.7423403107499762,0.1094768002381287,0.14818288901189508
2014-10-20,0.732699614927038,0.1138338284107759,0.1534665566621862
2014-10-27,0.7306735196587812,0.1150103631863947,0.15431611715482396
2014-11-03,0.7301406654273648,0.11578994264868259,0.1540693919239526
2014-11-10,0.7291385581884664,0.11783910115782849,0.15302234065370515
2014-11-17,0.7307072305596927,0.12005568423340969,0.1492370852068976
2014-11-24,0.7237015411267751,0.12256496854741915,0.15373349032580566
2014-12-01,0.7305759172996287,0.12178803960457577,0.14763604309579564
2014-12-08,0.7319509976553376,0.11762704014901972,0.15042196219564272
2014-12-15,0.7431077804415733,0.1105986502323999,0.14629356932602688
2014-12-22,0.7473252842559428,0.10839469827137431,0.1442800174726829
2015-01-05,0.7498061078110962,0.10365909571317812,0.14653479647572556
2015-01-12,0.7502639312614222,0.10345807130409743,0.14627799743448056
2015-01-19,0.7558841714622966,0.0973862731034233,0.14672955543428018
2015-01-26,0.7575778912695024,0.09565166735770977,0.14677044137278786
2015-02-02,0.7602303554490674,0.09486932932595767,0.14490031522497512
2015-02-09,0.7619038566975609,0.0943678153554325,0.14372832794700674
2015-02-16,0.7618825314776948,0.09472911863142794,0.14338834989087726
2015-02-25,0.7623510675026732,0.09463647755579668,0.14301245494153011
2015-03-02,0.7612455968703267,0.09428422612142177,0.14447017700825157
2015-03-09,0.7627404520296376,0.09453503447826422,0.14272451349209817
2015-03-16,0.7628105359357829,0.09338609287929574,0.14380337118492156
2015-03-23,0.763195984250201,0.09374221689372977,0.14306179885606926
2015-03-30,0.7606321256911763,0.09384374926103406,0.1455241250477896
2015-04-07,0.7581904038892548,0.09568374363489356,0.14612585247585166
2015-04-13,0.7559826765161234,0.09655459310662326,0.14746273037725344
2015-04-20,0.7516168267581855,0.09767330011182308,0.1507098731299913
2015-04-27,0.7519521779160299,0.0974557323587218,0.15059208972524837
2015-05-04,0.7546420949088448,0.096944677846311,0.1484132272448442
2015-05-11,0.7551601245432898,0.09500029583688521,0.14983957961982486
2015-05-18,0.7559540676123533,0.0947612292545557,0.14928470313309092
2015-05-25,0.761735580627934,0.09148851259512691,0.14677590677693927
2015-06-01,0.763857553111214,0.08747704366492351,0.1486654032238625
2015-06-08,0.7641488317980637,0.08697978590173662,0.14887138230019975
2015-06-15,0.7647151822110855,0.08643729329247321,0.14884752449644129
2015-06-23,0.7684491139703203,0.0821098572022241,0.14944102882745555
2015-06-29,0.7720592583467054,0.07722851497590345,0.150712226677391
2015-07-06,0.7719302028015429,0.07301452041614745,0.15505527678230963
2015-07-13,0.77704782859877,0.06901899341998535,0.15393317798124462
2015-07-20,0.7803167084258197,0.06788586202628476,0.15179742954789552
2015-07-27,0.7845973549339994,0.06516447497808261,0.15023817008791804
2015-08-03,0.7863397381953301,0.06449103744406245,0.14916922436060745
2015-08-10,0.7867926381350968,0.06377981134814532,0.14942755051675782
2015-08-17,0.7899237655154449,0.06436690509578265,0.1457093293887725
2015-08-24,0.7934657929807651,0.06084783004170755,0.14568637697752726
2015-08-31,0.7948071843842809,0.059017804826866326,0.14617501078885273
2015-09-07,0.7950714439441825,0.05894439561886049,0.14598416043695708
2015-09-14,0.7955170345312657,0.05868546296645568,0.14579750250227858
2015-09-21,0.7964031493719186,0.057857208129703325,0.14573964249837806
2015-09-28,0.7964907181749562,0.05780498252779311,0.14570429929725062
2015-10-08,0.8009953037726381,0.056715784590776086,0.14228891163658594
2015-10-12,0.799825200600962,0.05688232203778572,0.1432924773612522
2015-10-19,0.7982005565870721,0.05712251681266405,0.14467692660026368
2015-10-26,0.8003175880862533,0.056414481233440845,0.14326793068030585
2015-11-02,0.8028093060938033,0.055779099675167136,0.14141159423102956
